sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
,race,-1,,1.00,APPROVED,EQUAL,Leo,1731540424433,4013886,Race,Observation,MAPS_TO,,<auto>,1731540312666,
,Lacunes,-1,,0.69,APPROVED,EQUAL,Leo,1731581542096,4046360,Lacunar infarction,Condition,MAPS_TO,,Leo,1731581540957,
,chemotherapy,-1,,1.00,APPROVED,EQUAL,Leo,1731540446442,4273629,Chemotherapy,Procedure,MAPS_TO,,<auto>,1731540313159,
,malformations,-1,,0.78,APPROVED,EQUAL,Leo,1731582290021,4079975,Congenital malformation,Condition,MAPS_TO,,Leo,1731582289269,
,kidney disease,-1,,1.00,APPROVED,EQUAL,Leo,1731540449019,198124,Kidney disease,Condition,MAPS_TO,,<auto>,1731540313419,
,botolinum toxin,-1,,0.78,APPROVED,EQUAL,Leo,1731545452326,4043344,Clostridium botulinum toxin,Observation,MAPS_TO,,<auto>,1731540313494,
,Glycemic control,-1,,0.81,APPROVED,EQUAL,Leo,1731580312574,4301936,Blood glucose management,Procedure,MAPS_TO,,Leo,1731580311921,
,antidepressants,-1,,0.73,APPROVED,EQUAL,Leo,1731542833395,44784326,Antidepressant therapy,Procedure,MAPS_TO,,<auto>,1731540313611,
,Barthel_Index_follow_up,-1,,0.25,APPROVED,EQUAL,Leo,1731543494869,4167605,Barthel index,Measurement,MAPS_TO,,<auto>,1731540313654,
,genetic factors,-1,,0.58,APPROVED,EQUAL,Leo,1731580265352,4166231,Genetic predisposition,Observation,MAPS_TO,,Leo,1731580264970,
,infarct localisation,-1,,0.68,APPROVED,EQUAL,Leo,1731581296382,40599742,Lesion,Observation,MAPS_TO,,Leo,1731581292479,
,vessel stenosis/occlusion,-1,,0.47,APPROVED,INEXACT,Leo,1731588186158,4217691,Stenosis,Observation,MAPS_TO,,Leo,1731588134478,
,vessel stenosis/occlusion,-1,,0.47,APPROVED,INEXACT,Leo,1731588186158,4178903,Complete obstruction,Observation,MAPS_TO,,Leo,1731588152771,
,infectious endocarditis,-1,,0.89,APPROVED,EQUAL,Leo,1731581347168,43020873,Acute infective endocarditis,Condition,MAPS_TO,,<auto>,1731540314029,
,peripheral immune competence,-1,,0.59,FLAGGED,EQUAL,Leo,1731583339690,0,Unmapped,,MAPS_TO,,,0,
,occlusion of a blood vessel,-1,,0.79,APPROVED,EQUAL,Leo,1731583212098,4282394,Surgical occlusion of blood vessel,Procedure,MAPS_TO,,<auto>,1731540314077,
,microglial proliferation,-1,,0.69,FLAGGED,EQUAL,Leo,1731582402787,0,Unmapped,,MAPS_TO,,,0,
,Atrial Fibrillation,-1,,1.00,APPROVED,EQUAL,Leo,1731540451754,313217,Atrial fibrillation,Condition,MAPS_TO,,<auto>,1731540314133,
,patent foramen ovale (PFO),-1,,0.59,APPROVED,EQUAL,Leo,1731583321991,4070299,Patent foramen ovale,Condition,MAPS_TO,,<auto>,1731540314141,
,sinus venous thrombosis,-1,,0.86,APPROVED,EQUAL,Leo,1731586445309,4102202,Cerebral venous sinus thrombosis,Condition,MAPS_TO,,Leo,1731586444858,
,male sex,-1,,0.59,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,death,-1,,1.00,APPROVED,EQUAL,Leo,1731540453393,4306655,Death,Observation,MAPS_TO,,<auto>,1731540314474,
,Thiazolidindione,-1,,0.72,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,coagulopathy,-1,,1.00,APPROVED,EQUAL,Leo,1731540501472,432585,Blood coagulation disorder,Condition,MAPS_TO,,<auto>,1731540314543,
,cognitive training,-1,,0.74,APPROVED,EQUAL,Leo,1731546817079,4114614,Cognitive skills training,Observation,MAPS_TO,,<auto>,1731540314607,
,speech therapy,-1,,1.00,APPROVED,EQUAL,Leo,1731540503566,4201412,Speech therapy,Observation,MAPS_TO,,<auto>,1731540314627,
,immunodepression,-1,,0.71,APPROVED,EQUAL,Leo,1731581311215,4242843,Immunosuppression,Condition,MAPS_TO,,Leo,1731580910863,
,exercise,-1,,1.00,APPROVED,EQUAL,Leo,1731540510804,4116678,Exercise,Observation,MAPS_TO,,<auto>,1731540314713,
,vulnerable plaques,-1,,0.60,APPROVED,EQUAL,Leo,1731588273708,4192115,Complicated atheromatous plaque,Observation,MAPS_TO,,Leo,1731588201142,
,brain IL6_time2,-1,,0.22,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,Male Sex,-1,,0.59,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,aging,-1,,1.00,APPROVED,EQUAL,Leo,1731542599506,4322978,Age factor,Observation,MAPS_TO,,Leo,1731542597592,
,endovascular interventions,-1,,0.73,APPROVED,EQUAL,Leo,1731548830468,37153627,Percutaneous transluminal procedure on blood vessel,Procedure,MAPS_TO,,Leo,1731548751745,
,microbleeds,-1,,0.69,APPROVED,EQUAL,Leo,1731582348828,37109909,Silent micro-hemorrhage of brain,Condition,MAPS_TO,,Leo,1731582347175,
,female gender,-1,,0.77,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,reduced QoL/ADL,-1,,0.30,APPROVED,EQUAL,Leo,1731585772176,4234649,Quality of life satisfaction,Observation,MAPS_TO,,Leo,1731585771550,
,SGLT2 Inhibitors,-1,,0.52,APPROVED,EQUAL,Leo,1731586274705,42536002,Sodium glucose cotransporter subtype 2 inhibitor,Observation,MAPS_TO,,Leo,1731586273760,
,alcohol consumption,-1,,0.86,APPROVED,EQUAL,Leo,1731542669547,4052946,Alcohol consumption unknown,Observation,MAPS_TO,,Leo,1731542668649,
,psychotherapy,-1,,1.00,APPROVED,EQUAL,Leo,1731583668342,4327941,Psychotherapy,Procedure,MAPS_TO,,<auto>,1731540315394,
,oral contraceptives,-1,,0.83,APPROVED,EQUAL,Leo,1731583225683,4241216,Uses oral contraception,Observation,MAPS_TO,,<auto>,1731540315419,
,spasticity,-1,,1.00,APPROVED,EQUAL,Leo,1731540519768,4329728,Spasticity,Condition,MAPS_TO,,<auto>,1731540315583,
,Embolism,-1,,1.00,APPROVED,EQUAL,Leo,1731540520888,4185607,Embolism,Condition,MAPS_TO,,<auto>,1731540315617,
,cancer,-1,,1.00,APPROVED,EQUAL,Leo,1731540528116,37153816,Malignant neoplasm,Observation,MAPS_TO,,<auto>,1731540315665,
,functional post stroke outcome,-1,,0.56,APPROVED,EQUAL,Leo,1731580255213,4041284,Functional finding,Observation,MAPS_TO,,Leo,1731580254645,
,nonatherosclerotic abnormalities,-1,,0.59,FLAGGED,EQUAL,Leo,1731583142817,0,Unmapped,,MAPS_TO,,,0,
,stress,-1,,1.00,APPROVED,EQUAL,Leo,1731540530522,4251306,Stress,Observation,MAPS_TO,,<auto>,1731540315734,
,endarterectomy,-1,,1.00,APPROVED,EQUAL,Leo,1731540533572,4194238,Endarterectomy,Procedure,MAPS_TO,,<auto>,1731540315789,
,preeclampsia/eclampsia,-1,,0.65,APPROVED,EQUAL,Leo,1731583488499,439393,Pre-eclampsia,Condition,MAPS_TO,,<auto>,1731540315818,
,vascular inflammation,-1,,0.90,APPROVED,EQUAL,Leo,1731588079789,4137275,Vasculitis,Condition,MAPS_TO,,Leo,1731588078959,
,neurosurgery,-1,,1.00,APPROVED,EQUAL,Leo,1731583044160,4215133,Neurosurgery,Observation,MAPS_TO,,<auto>,1731540315919,
,Recurrent Stroke,-1,,0.69,APPROVED,EQUAL,Leo,1731585709241,4310996,Ischemic stroke,Condition,MAPS_TO,,Leo,1731585708149,
,immobility,-1,,0.83,APPROVED,EQUAL,Leo,1731580824428,4178501,Mobility,Observation,MAPS_TO,,<auto>,1731540316149,
,LMV,-1,,0.73,FLAGGED,EQUAL,Leo,1731581777919,0,Unmapped,,MAPS_TO,,,0,
,B-cell infiltration,-1,,0.68,FLAGGED,EQUAL,Leo,1731594364922,0,Unmapped,,MAPS_TO,,,0,
,physiotherapy,-1,,1.00,APPROVED,EQUAL,Leo,1731540766282,4238738,Physical therapy procedure,Procedure,MAPS_TO,,Leo,1731540762930,
,astrocytic proliferation,-1,,0.85,APPROVED,EQUAL,Leo,1731543306725,4217949,Gliosis,Observation,MAPS_TO,,Leo,1731543235060,
,Thrombosis,-1,,1.00,APPROVED,EQUAL,Leo,1731541285562,4231363,Thrombosis,Condition,MAPS_TO,,<auto>,1731540316284,
,vaskulitis,-1,,0.65,APPROVED,EQUAL,Leo,1731583774941,4137275,Vasculitis,Condition,MAPS_TO,,Leo,1731583774041,
,migraine,-1,,1.00,APPROVED,EQUAL,Leo,1731541289095,318736,Migraine,Condition,MAPS_TO,,<auto>,1731540316549,
,Stroke,-1,,1.00,APPROVED,EQUAL,Leo,1731541317179,4310996,Ischemic stroke,Condition,MAPS_TO,,Leo,1731541313393,
,Dietary salt restriction,-1,,0.72,APPROVED,EQUAL,Leo,1731547862603,4304917,Low sodium diet,Observation,MAPS_TO,,<auto>,1731540316619,
,kidney function,-1,,0.86,APPROVED,EQUAL,Leo,1731581496966,606770,Finding of renal function,Observation,MAPS_TO,,Leo,1731581496463,
,statin use,-1,,0.60,APPROVED,EQUAL,Leo,1731587155602,4201029,Administration of prophylactic statin,Procedure,MAPS_TO,,Leo,1731587155058,
,male gender,-1,,0.72,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,antidepressive medication,-1,,0.62,APPROVED,EQUAL,Leo,1731542879049,44784326,Antidepressant therapy,Procedure,MAPS_TO,,Leo,1731542877030,
,mobility,-1,,1.00,APPROVED,EQUAL,Leo,1731582849438,4178501,Mobility,Observation,MAPS_TO,,<auto>,1731540316885,
,arterial dissection,-1,,1.00,APPROVED,EQUAL,Leo,1731541332045,46272492,Dissection of artery,Condition,MAPS_TO,,<auto>,1731540316965,
,systemic IL6,-1,,0.54,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,cognitive decline,-1,,1.00,APPROVED,EQUAL,Leo,1731541337244,443432,Impaired cognition,Condition,MAPS_TO,,<auto>,1731540317089,
,social work,-1,,0.88,APPROVED,EQUAL,Leo,1731586994510,4024166,Social worker,Observation,MAPS_TO,,<auto>,1731540317101,
,secondary cardiovascular risk,-1,,0.66,APPROVED,EQUAL,Leo,1731586005054,37311069,Risk of cardiovascular disease,Observation,MAPS_TO,,Leo,1731585999510,
,low blood pressure,-1,,1.00,APPROVED,EQUAL,Leo,1731541345748,317002,Low blood pressure,Condition,MAPS_TO,,<auto>,1731540317216,
,pregnancy,-1,,1.00,APPROVED,EQUAL,Leo,1731541347046,4299535,Pregnancy,Observation,MAPS_TO,,<auto>,1731540317251,
,cerebral inflammation,-1,,0.78,APPROVED,EQUAL,Leo,1731546561333,378143,Encephalitis,Condition,MAPS_TO,,Leo,1731546559060,
,Healthy Diet,-1,,1.00,APPROVED,EQUAL,Leo,1731541351720,4022846,Healthy diet,Observation,MAPS_TO,,<auto>,1731540317303,
,Cardiac Remodelling,-1,,0.65,FLAGGED,EQUAL,Leo,1731545919026,0,Unmapped,,MAPS_TO,,,0,
,Ischemic stroke,-1,,1.00,APPROVED,EQUAL,Leo,1731541354516,4310996,Ischemic stroke,Condition,MAPS_TO,,<auto>,1731540317388,
,DNA damage,-1,,1.00,APPROVED,EQUAL,Leo,1731541356766,4285282,DNA damage,Observation,MAPS_TO,,<auto>,1731540317463,
,Lipoprotein a,-1,,0.75,APPROVED,EQUAL,Leo,1731581759996,4007663,Lipoprotein (a) measurement,Measurement,MAPS_TO,,Leo,1731581759276,
,aphasia,-1,,1.00,APPROVED,EQUAL,Leo,1731541360067,440424,Aphasia,Condition,MAPS_TO,,<auto>,1731540317569,
,NIHSS_followup,-1,,0.41,APPROVED,EQUAL,Leo,1731583123992,42872749,National Institutes of Health stroke scale,Measurement,MAPS_TO,,Leo,1731583123552,
,hs cardiac Troponin,-1,,0.60,APPROVED,EQUAL,Leo,1731580535139,44805124,High sensitivity cardiac troponin T measurement,Measurement,MAPS_TO,,Leo,1731580534389,
,COVID-19,-1,,1.00,APPROVED,EQUAL,Leo,1731541363116,37311061,COVID-19,Condition,MAPS_TO,,<auto>,1731540317715,
,enlarged perivascular spaces,-1,,0.72,APPROVED,EQUAL,Leo,1731582679322,4287112,Structure of perivascular space,Spec Anatomic Site,MAPS_TO,,Leo,1731548780856,
,stroke volume,-1,,1.00,APPROVED,EQUAL,Leo,1731541367914,4231869,Stroke volume,Measurement,MAPS_TO,,<auto>,1731540317867,
,GFR,-1,,0.65,APPROVED,EQUAL,Leo,1731580274685,4213477,Glomerular filtration rate,Observation,MAPS_TO,,Leo,1731580274112,
,endocarditis,-1,,1.00,APPROVED,EQUAL,Leo,1731541370231,441589,Endocarditis,Condition,MAPS_TO,,<auto>,1731540317927,
,physical exercise,-1,,1.00,APPROVED,EQUAL,Leo,1731583395902,4116678,Exercise,Observation,MAPS_TO,,Leo,1731583395005,
,severe disability,-1,,0.76,APPROVED,EQUAL,Leo,1731586148629,4052648,Disability,Observation,MAPS_TO,,<auto>,1731540318006,
,mRS_follow_up,-1,,0.27,APPROVED,EQUAL,Leo,1731582932072,42872749,National Institutes of Health stroke scale,Measurement,MAPS_TO,,Leo,1731582931445,
,antiplatelet therapy (e.g. ASS),-1,,0.45,APPROVED,EQUAL,Leo,1731542981310,3655005,Platelet aggregation inhibitor therapy,Procedure,MAPS_TO,,Leo,1731542979790,
,Smoking Cessation,-1,,1.00,APPROVED,EQUAL,Leo,1731586964274,44804450,Smoking cessation,Observation,MAPS_TO,,Leo,1731586963631,
,Other Cardiac Pathologies,-1,,0.52,FLAGGED,EQUAL,Leo,1731583271886,0,Unmapped,,MAPS_TO,,,0,
,nt-pro-BNP,-1,,0.37,APPROVED,EQUAL,Leo,1731583178613,4189511,N terminal pro-brain natriuretic peptide level,Measurement,MAPS_TO,,Leo,1731583177754,
,cardiac disease,-1,,0.77,APPROVED,EQUAL,Leo,1731545861300,321588,Heart disease,Condition,MAPS_TO,,<auto>,1731540318514,
,immobility before stroke,-1,,0.50,APPROVED,EQUAL,Leo,1731580824749,4178501,Mobility,Observation,MAPS_TO,,<auto>,1731540318599,
,brain IL6_time1,-1,,0.22,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,fibromuscular dysplasia,-1,,1.00,APPROVED,EQUAL,Leo,1731541424429,4135811,Fibromuscular dysplasia,Observation,MAPS_TO,,<auto>,1731540318771,
,care giving,-1,,0.59,APPROVED,EQUAL,Leo,1731546221942,4024618,Care provision regime,Observation,MAPS_TO,,Leo,1731546221378,
,hypercoagulability,-1,,1.00,APPROVED,EQUAL,Leo,1731580555845,4295287,Hypercoagulability state,Condition,MAPS_TO,,<auto>,1731540318830,
,hemispheric atrophy,-1,,0.77,APPROVED,EQUAL,Leo,1731580381332,4150603,Cerebral atrophy,Condition,MAPS_TO,,Leo,1731580380839,
,blood-brain barrier breakdown,-1,,0.74,APPROVED,EQUAL,Leo,1731544852250,4068351,Blood-brain barrier,Observation,MAPS_TO,,<auto>,1731540318891,
,Statins,-1,,0.81,APPROVED,EQUAL,Leo,1731587148960,4201029,Administration of prophylactic statin,Procedure,MAPS_TO,,Leo,1731587148509,
,malnutrition,-1,,1.00,APPROVED,EQUAL,Leo,1731541462939,4090739,Nutritional disorder,Condition,MAPS_TO,,<auto>,1731540318967,
,production of reactive oxygen species,-1,,0.58,FLAGGED,INEXACT,Leo,1731583614936,0,Unmapped,,MAPS_TO,,,0,
,loss of brain structural integrity,-1,,0.53,FLAGGED,EQUAL,Leo,1731581925752,0,Unmapped,,MAPS_TO,,,0,
,dyslipidemia,-1,,1.00,APPROVED,EQUAL,Leo,1731541464883,4159131,Dyslipidemia,Condition,MAPS_TO,,<auto>,1731540319254,
,atherosclerosis (measured by low ABI),-1,,0.46,APPROVED,EQUAL,Leo,1731546306019,4306703,Atherosclerosis,Observation,MAPS_TO,,<auto>,1731540319312,
,cachexia,-1,,1.00,APPROVED,EQUAL,Leo,1731541469320,134765,Cachexia,Condition,MAPS_TO,,<auto>,1731540319361,
,kognitive decline,-1,,0.81,APPROVED,EQUAL,Leo,1731581503053,443432,Impaired cognition,Condition,MAPS_TO,,<auto>,1731540319403,
,vasculitis,-1,,1.00,APPROVED,EQUAL,Leo,1731541471119,4137275,Vasculitis,Condition,MAPS_TO,,<auto>,1731540319427,
,Myocardial Infarction,-1,,1.00,APPROVED,EQUAL,Leo,1731541472337,4329847,Myocardial infarction,Condition,MAPS_TO,,<auto>,1731540319475,
,pain,-1,,1.00,APPROVED,EQUAL,Leo,1731541475988,4329041,Pain,Condition,MAPS_TO,,<auto>,1731540319600,
,collateralization,-1,,0.68,FLAGGED,EQUAL,Leo,1731579901248,0,Unmapped,,MAPS_TO,,,0,
,depression before stroke,-1,,0.55,APPROVED,EQUAL,Leo,1731547818887,440383,Depressive disorder,Condition,MAPS_TO,,<auto>,1731540319727,
,neuronal survival,-1,,0.68,FLAGGED,EQUAL,Leo,1731583028718,0,Unmapped,,MAPS_TO,,,0,
,Moyamoya disease,-1,,1.00,APPROVED,EQUAL,Leo,1731541478434,378774,Moyamoya disease,Condition,MAPS_TO,,<auto>,1731540319990,
,female,-1,,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,female sex steroids,-1,,0.46,APPROVED,EQUAL,Leo,1731580063515,4276568,Female sex hormones - serum level - finding,Measurement,MAPS_TO,,Leo,1731580062916,
,multimodal pain therapy,-1,,0.62,APPROVED,EQUAL,Leo,1731582961149,4083171,Pain management,Procedure,MAPS_TO,,Leo,1731582960618,
,Neurological Sequalae,-1,,0.69,APPROVED,EQUAL,Leo,1731582994148,4180770,Sequelae of neurological disorders,Condition,MAPS_TO,,<auto>,1731540320171,
,Carotid Endarterectomy / Angioplasty / stenting,-1,,0.61,APPROVED,INEXACT,Leo,1731546434139,4283095,Carotid endarterectomy,Procedure,MAPS_TO,,Leo,1731546329258,
,Carotid Endarterectomy / Angioplasty / stenting,-1,,0.61,APPROVED,INEXACT,Leo,1731546434139,4178631,Angioplasty of carotid artery,Procedure,MAPS_TO,,Leo,1731546351546,
,Carotid Endarterectomy / Angioplasty / stenting,-1,,0.61,APPROVED,INEXACT,Leo,1731546434139,4050288,Insertion of carotid artery stent,Procedure,MAPS_TO,,Leo,1731546430775,
,white matter hyperintensities (MRI),-1,,0.44,APPROVED,EQUAL,Leo,1731588288101,4232457,Leuko-araiosis,Observation,MAPS_TO,,Leo,1731588287494,
,cognitive function,-1,,0.97,APPROVED,EQUAL,Leo,1731546804050,443432,Impaired cognition,Condition,MAPS_TO,,Leo,1731546803605,
,low socioeconomic status,-1,,0.88,APPROVED,EQUAL,Leo,1731581986857,44803656,Socioeconomic status,Observation,MAPS_TO,,<auto>,1731540320430,
,antibiotics,-1,,0.60,APPROVED,EQUAL,Leo,1731542692555,4085730,Antibiotic therapy,Procedure,MAPS_TO,,<auto>,1731540320494,
,recovery level,-1,,0.61,APPROVED,EQUAL,Leo,1731585691810,4234656,Postprocedural recovery status,Observation,MAPS_TO,,Leo,1731585691153,
,Death,-1,,1.00,APPROVED,EQUAL,Leo,1731541600608,4306655,Death,Observation,MAPS_TO,,<auto>,1731540320564,
,anticoagulation medication,-1,,0.81,APPROVED,EQUAL,Leo,1731542815847,4056822,Anticoagulant therapy,Procedure,MAPS_TO,,Leo,1731542815308,
,dissection of cerebral vessel,-1,,0.78,APPROVED,EQUAL,Leo,1731547922132,37016924,Dissection of cerebral artery,Condition,MAPS_TO,,Leo,1731547920944,
,Arterial Dissection,-1,,1.00,APPROVED,EQUAL,Leo,1731541605491,46272492,Dissection of artery,Condition,MAPS_TO,,<auto>,1731540320667,
,endothelial proliferation,-1,,0.78,FLAGGED,UNREVIEWED,Leo,1731582643790,0,Unmapped,,MAPS_TO,,,0,
,reduction or complete blockage of blood flow,-1,,0.66,APPROVED,INEXACT,Leo,1731585859453,4070767,Decreased vascular flow,Observation,MAPS_TO,,<auto>,1731540320900,
,lesion size,-1,,1.00,APPROVED,EQUAL,Leo,1731581707016,4084390,Lesion size,Measurement,MAPS_TO,,<auto>,1731540321125,
,First Ischemic Stroke,-1,,0.80,APPROVED,EQUAL,Leo,1731580074741,4310996,Ischemic stroke,Condition,MAPS_TO,,<auto>,1731540321132,
,cognition,-1,,0.91,APPROVED,EQUAL,Leo,1731546774637,443432,Impaired cognition,Condition,MAPS_TO,,Leo,1731546774036,
,atherosclerosis/thrombosis,-1,,0.53,APPROVED,INEXACT,Leo,1731543371585,4306703,Atherosclerosis,Observation,MAPS_TO,,<auto>,1731540321201,
,atherosclerosis/thrombosis,-1,,0.53,APPROVED,INEXACT,Leo,1731543371585,4231363,Thrombosis,Condition,MAPS_TO,,Leo,1731543338406,
,Mortality,-1,,0.76,APPROVED,EQUAL,Leo,1731582904189,4249566,Mortality rate,Measurement,MAPS_TO,,<auto>,1731540321268,
,secondary prevention,-1,,1.00,APPROVED,EQUAL,Leo,1731541612469,4196427,Secondary prevention,Procedure,MAPS_TO,,<auto>,1731540321304,
,large artery atherosclerosis,-1,,0.79,APPROVED,EQUAL,Leo,1731581638307,40479625,Atherosclerosis of artery,Condition,MAPS_TO,,Leo,1731581635664,
,falls,-1,,1.00,APPROVED,EQUAL,Leo,1731549006029,4059015,Falls,Observation,MAPS_TO,,Leo,1731549005002,
,death (all causes),-1,,0.46,APPROVED,EQUAL,Leo,1731547527015,4306655,Death,Observation,MAPS_TO,,Leo,1731547526540,
,Hypercoagulopathy,-1,,0.86,APPROVED,EQUAL,Leo,1731580558655,432585,Blood coagulation disorder,Condition,MAPS_TO,,<auto>,1731540321497,
,sickle cell disease arteriopathy,-1,,0.80,APPROVED,EQUAL,Leo,1731586408548,4213628,Sickling disorder due to hemoglobin S,Condition,MAPS_TO,,Leo,1731586406685,
,Mono-/Dual Antiplatelet Therapy,-1,,0.49,APPROVED,EQUAL,Leo,1731582901100,3655005,Platelet aggregation inhibitor therapy,Procedure,MAPS_TO,,Leo,1731582899893,
,Obesity,-1,,1.00,APPROVED,EQUAL,Leo,1731541621786,433736,Obesity,Condition,MAPS_TO,,<auto>,1731540321583,
,first stroke,-1,,0.71,APPROVED,EQUAL,Leo,1731580085088,4310996,Ischemic stroke,Condition,MAPS_TO,,Leo,1731580084459,
,Anticoagulation Therapy,-1,,0.89,APPROVED,EQUAL,Leo,1731542827379,4056822,Anticoagulant therapy,Procedure,MAPS_TO,,<auto>,1731540321756,
,ageing,-1,,1.00,APPROVED,EQUAL,Leo,1731542590098,4322978,Age factor,Observation,MAPS_TO,,Leo,1731542588932,
,blood brain barrier integrity,-1,,0.56,APPROVED,EQUAL,Leo,1731544857224,4068351,Blood-brain barrier,Observation,MAPS_TO,,<auto>,1731540321918,
,fractures,-1,,0.92,APPROVED,EQUAL,Leo,1731580087050,4217808,Fracture,Observation,MAPS_TO,,<auto>,1731540321945,
,cardiac dysfunction,-1,,0.79,APPROVED,EQUAL,Leo,1731545907587,4024552,Disorder of cardiac function,Condition,MAPS_TO,,Leo,1731545907021,
,mortality,-1,,0.76,APPROVED,EQUAL,Leo,1731582903781,4249566,Mortality rate,Measurement,MAPS_TO,,<auto>,1731540322097,
,second ischemic stroke occurence,-1,,0.69,APPROVED,EQUAL,Leo,1731586123822,4310996,Ischemic stroke,Condition,MAPS_TO,,<auto>,1731540322164,
,decreased systemic perfusion,-1,,0.61,APPROVED,EQUAL,Leo,1731547630921,4131044,Hypoperfusion,Meas Value,MAPS_TO,,Leo,1731547629392,
,Age,-1,,1.00,APPROVED,EQUAL,Leo,1731542583850,4322978,Age factor,Observation,MAPS_TO,,Leo,1731542583308,
,primary prevention,-1,,1.00,APPROVED,EQUAL,Leo,1731541744628,4201926,Primary prevention,Procedure,MAPS_TO,,<auto>,1731540322289,
,GLP1 Receptor Agonists,-1,,0.62,APPROVED,EQUAL,Leo,1731580299793,36676288,Glucagon-like peptide 1 receptor agonist,Observation,MAPS_TO,,Leo,1731580299289,
